strain_id	CAZ
2001H23	8
2005B09	4
2007B71	8
2009H06	8
2010H34	8
2011A01	4
2001B52	4
2001B57	4
2009H09	8
2002H04	128
2003B44	256
2004H34	128
2005H10	128
2006H11	128
2006H27	128
2011H03	128
2002B14	128
2003B45	128
2003H04	128
2004B08	128
2004H30	128
2004H38	128
2006H36	128
2009H11	128
2010B36	128
2010H50	128
2010H62	256
2011B50	256
2011B62	256
1606H16	8
A4294106-10	64
A4294106-1	64
A4294106-2	64
A4294106-3	64
A4294106-4	64
A4294106-5	64
A4294106-6	64
A4294106-7	64
A4294106-8	64
A4294106-9	64
A4316057-10	256
A4316057-11	256
A4316057-12	256
A4316057-13	256
A4316057-15	256
A4316057-4	256
A4316057-5	256
A4316057-6	256
A4316057-7	256
A4316057-8	256
A4316057-9	256
A4336758-10	256
A4336758-1	256
A4338474-10	256
A4338474-11	256
A4338474-12	256
A4338474-13	256
A4338474-14	256
A4338474-15	256
A4338474-1	256
A4338474-2	256
A4338474-3	256
A4338474-4	256
A4338474-5	256
A4338474-6	256
A4338474-7	256
A4338474-8	256
A4338474-9	256
BJ16085	64
BJ16092	64
BJ16097	256
GDZ16087	256
GDZ16095	256
GDZ16099	256
HEB18091	256
HEB18094	256
SH16061	256
SY16087	128
SY16088	64
SY16090	256
WH18075	256
XJ16115	64
XJ16120	256
ZJ16087	256
ZJ16093	256
ZJ18087	128
A4316057-14	128
A4316057-1	128
A4316057-2	128
A4316057-3	128
